timestamp_s,flight_id,altitude_m,airspeed_ms,pitch_deg,roll_deg,yaw_deg,motor1_temp_c,motor2_temp_c,motor3_temp_c,motor4_temp_c,battery_v,battery_pct,vibration_g
0.0,FLT_004,0.51,0.0,8.0,0.579,0.182,57.12,55.68,54.47,56.5,52.0,99.8,0.2665
0.1,FLT_004,0.0,0.04,8.0,-1.781,0.221,56.57,56.9,55.87,56.49,51.974,100.0,0.3707
0.2,FLT_004,0.19,0.08,8.0,0.906,0.187,54.38,55.81,55.46,54.54,51.984,99.8,0.3433
0.3,FLT_004,0.64,0.12,8.0,-3.102,0.266,56.57,55.1,55.83,56.68,51.965,100.0,0.262
0.4,FLT_004,0.98,0.16,8.0,0.463,0.344,55.16,55.04,54.45,55.12,51.955,99.9,0.2281
0.5,FLT_004,1.32,0.2,8.0,-1.888,0.364,53.6,56.27,55.61,55.98,51.886,99.8,0.377
0.6,FLT_004,0.39,0.24,8.0,-3.67,0.53,54.69,54.56,54.89,54.21,51.854,99.4,0.2955
0.7,FLT_004,1.5,0.28,8.0,-1.383,0.441,54.68,52.97,54.85,53.5,51.988,100.0,0.374
0.8,FLT_004,1.68,0.32,8.0,1.904,0.404,56.42,55.95,54.31,53.14,51.888,99.8,0.2638
0.9,FLT_004,1.83,0.36,8.0,-0.464,0.398,54.84,55.35,53.04,53.56,51.945,100.0,0.2508
1.0,FLT_004,2.76,0.4,8.0,2.892,0.489,53.9,54.8,55.78,55.12,52.08,100.0,0.2877
1.1,FLT_004,2.48,0.44,8.0,2.59,0.488,55.57,56.6,53.42,54.92,52.082,99.3,0.2957
1.2,FLT_004,2.21,0.48,8.0,0.412,0.354,54.87,56.53,55.56,54.66,52.033,99.8,0.3203
1.3,FLT_004,2.98,0.52,8.0,-3.776,0.285,54.35,56.07,55.21,55.47,51.961,99.6,0.2839
1.4,FLT_004,2.42,0.56,8.0,1.806,0.385,57.71,55.52,55.72,55.63,51.996,100.0,0.2902
1.5,FLT_004,3.49,0.6,8.0,-0.948,0.482,56.48,54.78,55.57,55.18,51.933,100.0,0.2645
1.6,FLT_004,3.23,0.64,8.0,0.22,0.364,55.76,54.61,55.44,54.29,52.034,99.7,0.3589
1.7,FLT_004,3.57,0.68,8.0,2.401,0.328,55.7,55.86,54.59,54.64,51.856,99.6,0.3409
1.8,FLT_004,2.47,0.72,8.0,4.13,0.271,56.18,54.42,54.0,54.77,52.043,99.6,0.2668
1.9,FLT_004,3.5,0.76,8.0,-2.391,0.326,54.94,54.73,54.13,53.9,51.946,99.3,0.4546
2.0,FLT_004,4.86,0.8,8.0,-1.636,0.284,55.15,56.28,53.24,54.13,52.088,99.5,0.2333
2.1,FLT_004,4.18,0.84,8.0,-0.476,0.278,54.73,55.31,54.89,54.67,51.888,99.5,0.3545
2.2,FLT_004,4.88,0.88,8.0,0.331,0.35,54.35,53.16,53.25,53.7,51.947,100.0,0.2824
2.3,FLT_004,5.06,0.92,8.0,0.325,0.361,55.95,56.19,54.92,54.51,51.952,99.5,0.335
2.4,FLT_004,5.47,0.96,8.0,2.464,0.266,55.73,55.92,55.86,55.69,52.058,99.5,0.3755
2.5,FLT_004,5.53,1.0,8.0,-1.647,0.12,53.39,54.69,52.36,56.27,51.96,99.6,0.2849
2.6,FLT_004,5.11,1.04,8.0,-1.077,0.197,53.49,54.09,56.75,56.29,51.991,99.6,0.313
2.7,FLT_004,5.55,1.08,8.0,3.59,0.256,56.89,55.88,54.92,55.73,52.13,99.5,0.3711
2.8,FLT_004,5.24,1.12,8.0,2.207,0.159,52.38,55.51,54.95,54.79,51.847,99.4,0.3225
2.9,FLT_004,5.78,1.16,8.0,0.464,0.08,56.57,55.73,56.75,55.15,51.791,99.9,0.2359
3.0,FLT_004,5.1,1.2,8.0,-2.241,0.228,55.86,55.97,54.07,54.56,52.01,99.2,0.2436
3.1,FLT_004,5.39,1.24,8.0,1.622,0.169,52.59,53.72,54.2,55.5,51.873,99.2,0.3133
3.2,FLT_004,6.11,1.28,8.0,-5.046,0.253,55.56,55.79,52.27,55.38,52.067,99.6,0.251
3.3,FLT_004,6.68,1.32,8.0,-2.162,0.173,54.48,55.37,56.08,54.36,51.931,99.4,0.3037
3.4,FLT_004,6.85,1.36,8.0,0.219,0.029,54.8,55.55,55.05,54.06,51.907,99.7,0.3806
3.5,FLT_004,6.87,1.4,8.0,0.359,0.028,56.76,54.21,53.1,56.32,52.025,99.6,0.3561
3.6,FLT_004,6.41,1.44,8.0,-1.277,359.873,54.44,55.33,54.61,54.38,51.964,99.9,0.4099
3.7,FLT_004,6.95,1.48,8.0,-0.434,359.856,55.61,53.94,54.76,54.81,51.991,99.5,0.2768
3.8,FLT_004,7.95,1.52,8.0,-2.39,359.868,54.45,55.64,54.95,56.39,52.032,98.9,0.2649
3.9,FLT_004,8.62,1.56,8.0,-1.378,359.802,56.74,54.53,54.55,56.53,51.87,99.3,0.3341
4.0,FLT_004,7.95,1.6,8.0,-0.447,359.784,55.0,54.16,55.49,52.92,51.857,98.8,0.2864
4.1,FLT_004,7.42,1.64,8.0,0.275,359.869,55.31,53.57,55.01,54.64,51.826,99.6,0.2312
4.2,FLT_004,9.42,1.68,8.0,-1.948,359.944,55.03,55.04,55.66,55.42,51.862,99.7,0.2582
4.3,FLT_004,8.28,1.72,8.0,-1.599,359.882,54.15,56.09,54.83,56.61,51.902,99.4,0.3031
4.4,FLT_004,9.17,1.76,8.0,-2.062,359.708,56.07,54.88,56.09,53.7,51.93,99.4,0.3233
4.5,FLT_004,9.11,1.8,8.0,-1.449,359.762,54.54,54.32,54.13,54.04,51.873,99.7,0.3425
4.6,FLT_004,9.47,1.84,8.0,-1.192,359.792,57.39,55.72,55.42,55.48,51.918,98.8,0.2845
4.7,FLT_004,9.11,1.88,8.0,-2.023,359.99,57.42,53.77,53.24,55.28,51.937,98.9,0.3123
4.8,FLT_004,9.44,1.92,8.0,-4.17,359.854,54.69,54.28,54.26,54.13,51.906,99.4,0.3163
4.9,FLT_004,9.84,1.96,8.0,-1.122,359.891,54.1,55.3,55.83,53.82,51.883,99.2,0.2782
5.0,FLT_004,9.52,2.0,8.0,-0.294,359.745,54.25,56.52,53.51,54.61,52.004,99.3,0.2578
5.1,FLT_004,10.6,2.04,8.0,-1.557,359.832,54.27,55.31,54.03,55.32,51.973,99.2,0.2829
5.2,FLT_004,10.45,2.08,8.0,0.27,359.82,55.52,54.46,55.32,54.51,51.851,99.2,0.3296
5.3,FLT_004,11.04,2.12,8.0,-0.314,359.834,55.18,55.03,55.41,53.74,51.842,99.4,0.3423
5.4,FLT_004,10.71,2.16,8.0,1.871,0.003,55.35,55.59,55.37,54.69,51.769,98.7,0.3052
5.5,FLT_004,11.18,2.2,8.0,2.638,359.977,53.92,53.67,55.29,54.1,51.91,99.3,0.3387
5.6,FLT_004,11.11,2.24,8.0,-1.142,359.934,56.45,56.61,54.25,54.55,51.872,99.1,0.1811
5.7,FLT_004,11.3,2.28,8.0,-3.18,359.903,55.72,54.74,55.38,56.02,51.884,99.3,0.2525
5.8,FLT_004,10.9,2.32,8.0,-0.166,359.949,53.71,54.38,53.73,55.44,51.831,99.5,0.3109
5.9,FLT_004,12.17,2.36,8.0,2.141,359.906,54.45,55.67,53.62,53.59,51.995,99.5,0.3581
6.0,FLT_004,11.94,2.4,8.0,2.67,359.845,56.35,56.05,55.18,54.67,51.88,99.6,0.3302
6.1,FLT_004,12.86,2.44,8.0,-1.603,359.826,55.41,54.97,54.33,55.68,51.867,99.5,0.3905
6.2,FLT_004,12.71,2.48,8.0,-3.801,359.885,54.29,55.22,54.29,54.75,51.824,99.2,0.3561
6.3,FLT_004,12.05,2.52,8.0,-0.358,359.847,54.77,55.17,54.64,53.77,51.859,99.3,0.2296
6.4,FLT_004,12.04,2.56,8.0,2.257,359.861,55.54,55.03,55.25,55.75,51.991,99.1,0.337
6.5,FLT_004,13.37,2.6,8.0,0.526,359.915,56.09,55.16,55.95,56.9,51.713,98.5,0.2522
6.6,FLT_004,13.28,2.64,8.0,-0.62,359.949,54.51,55.15,56.06,55.72,52.045,99.1,0.2472
6.7,FLT_004,13.48,2.68,8.0,-0.8,359.956,52.59,56.25,53.78,55.65,51.886,98.2,0.232
6.8,FLT_004,14.72,2.72,8.0,1.765,359.922,55.7,54.89,56.07,55.15,51.862,99.0,0.2993
6.9,FLT_004,14.1,2.76,8.0,-2.487,359.972,56.07,55.23,54.6,53.98,51.888,99.1,0.2848
7.0,FLT_004,14.5,2.8,8.0,-1.782,0.044,56.46,53.77,53.51,55.63,51.879,98.8,0.267
7.1,FLT_004,14.46,2.84,8.0,0.645,359.933,55.08,54.31,55.45,56.41,51.808,99.1,0.3176
7.2,FLT_004,14.82,2.88,8.0,-2.73,0.012,55.19,53.33,55.76,53.91,51.81,98.9,0.3183
7.3,FLT_004,14.22,2.92,8.0,2.604,359.977,55.58,54.83,57.09,55.68,51.903,98.5,0.2865
7.4,FLT_004,14.52,2.96,8.0,-0.734,359.808,55.0,53.89,56.25,55.76,51.781,98.7,0.2864
7.5,FLT_004,15.9,3.0,8.0,0.681,359.712,54.37,55.56,54.41,52.57,51.722,98.4,0.2863
7.6,FLT_004,15.09,3.04,8.0,-1.084,359.68,56.34,55.36,55.23,55.06,51.821,98.8,0.2592
7.7,FLT_004,16.07,3.08,8.0,1.759,359.84,54.99,55.27,54.41,53.02,51.852,99.1,0.3363
7.8,FLT_004,15.33,3.12,8.0,0.055,359.768,54.0,55.66,53.56,55.2,51.84,98.4,0.3154
7.9,FLT_004,15.52,3.16,8.0,3.287,359.657,55.33,56.4,55.13,53.47,51.944,99.3,0.3056
8.0,FLT_004,16.63,3.2,8.0,0.7,359.705,56.47,54.28,55.37,54.72,51.715,99.1,0.3316
8.1,FLT_004,15.93,3.24,8.0,3.018,359.846,55.32,53.78,55.72,54.99,51.843,98.5,0.2838
8.2,FLT_004,16.2,3.28,8.0,-4.086,359.997,54.28,56.69,53.34,55.38,51.884,98.3,0.2962
8.3,FLT_004,16.43,3.32,8.0,7.211,359.973,53.6,56.33,54.99,55.36,51.887,98.8,0.3522
8.4,FLT_004,17.01,3.36,8.0,-3.236,359.844,55.69,55.93,54.96,56.03,51.811,99.1,0.1982
8.5,FLT_004,16.75,3.4,8.0,1.307,359.769,55.09,53.88,56.99,54.64,51.984,98.4,0.2302
8.6,FLT_004,17.31,3.44,8.0,1.834,359.722,55.81,56.86,55.21,52.75,52.047,99.2,0.3441
8.7,FLT_004,17.81,3.48,8.0,1.996,359.629,54.37,54.66,55.0,55.83,51.874,98.5,0.3153
8.8,FLT_004,17.73,3.52,8.0,-2.097,359.668,56.08,54.49,53.85,54.49,51.794,98.7,0.2377
8.9,FLT_004,17.73,3.56,8.0,-1.502,359.927,55.82,55.91,55.48,54.8,51.732,98.2,0.358
9.0,FLT_004,19.28,3.6,8.0,-0.674,359.769,54.0,53.53,52.3,55.31,51.563,98.8,0.3448
9.1,FLT_004,18.97,3.64,8.0,1.374,359.792,54.79,56.88,55.18,54.19,51.758,98.9,0.3062
9.2,FLT_004,18.58,3.68,8.0,2.133,359.714,54.66,54.9,53.65,55.13,51.859,99.3,0.2416
