timestamp_s,flight_id,altitude_m,airspeed_ms,pitch_deg,roll_deg,yaw_deg,motor1_temp_c,motor2_temp_c,motor3_temp_c,motor4_temp_c,battery_v,battery_pct,vibration_g,altitude_ms_rate,airspeed_ms_rate,motor_max_temp,motor_temp_spread,motor_temp_zscore,vibration_zscore,phase,fault_flag,fault_reason
0.0,FLT_005,0.0,0.0,8.0,-0.248,0.128,55.23,55.84,54.23,55.19,52.07,100.0,0.3154,,,55.84,1.6100000000000065,,,landing,False,
0.1,FLT_005,0.69,0.04,8.0,-0.106,0.175,55.24,55.28,56.63,54.05,51.897,99.9,0.2798,6.8999999999999995,0.4,56.63,2.5800000000000054,,,landing,False,
0.2,FLT_005,0.29,0.08,8.0,0.801,0.174,54.78,55.95,54.81,54.98,52.13,100.0,0.1641,-3.9999999999999996,0.4,55.95,1.1700000000000017,,,landing,False,
0.3,FLT_005,0.44,0.12,8.0,2.508,0.077,54.34,54.22,56.41,54.61,51.85,100.0,0.4112,1.5000000000000002,0.3999999999999999,56.41,2.1899999999999977,,,landing,False,
0.4,FLT_005,0.89,0.16,8.0,0.975,0.063,53.82,54.92,53.24,54.96,51.975,99.6,0.3292,4.5,0.4000000000000001,54.96,1.7199999999999989,-1.5464575631050659,0.32544883278445436,landing,False,
0.5,FLT_005,0.0,0.2,8.0,1.103,0.057,55.99,55.83,55.62,54.57,52.171,99.5,0.302,-8.9,0.4000000000000001,55.99,1.4200000000000017,0.04618701780578468,0.021346420397518738,landing,False,
0.6,FLT_005,1.36,0.24,8.0,-1.823,359.973,55.48,55.56,53.58,53.5,52.039,99.4,0.3216,13.600000000000001,0.3999999999999998,55.56,2.0600000000000023,-0.6301046369565165,0.24740119662252785,landing,False,
0.7,FLT_005,0.79,0.28,8.0,-1.035,359.856,55.03,55.35,53.89,56.72,51.953,99.8,0.348,-5.700000000000001,0.40000000000000036,56.72,2.8299999999999983,1.2202984915428936,0.556996665561318,landing,False,
0.8,FLT_005,1.15,0.32,8.0,-2.07,0.041,54.04,54.94,54.63,55.85,51.892,100.0,0.2225,3.5999999999999988,0.3999999999999998,55.85,1.8100000000000023,-0.255157259141596,-1.0715106367705538,landing,False,
0.9,FLT_005,2.2,0.36,8.0,-3.5,0.095,55.14,55.51,54.63,52.34,51.954,99.9,0.2723,10.500000000000004,0.3999999999999998,55.51,3.1699999999999946,-0.801318646539009,-0.3568553374828452,landing,False,
1.0,FLT_005,2.28,0.4,8.0,-1.913,0.126,56.76,54.51,53.4,52.45,52.117,99.7,0.3278,0.7999999999999963,0.40000000000000036,56.76,4.309999999999995,1.3096603013267372,0.43416850657441663,landing,False,
1.1,FLT_005,2.73,0.44,8.0,1.697,0.031,55.14,56.89,54.38,54.62,51.99,100.0,0.2739,4.500000000000002,0.3999999999999998,56.89,2.509999999999998,1.3408812593967796,-0.37344985586314416,landing,False,
1.2,FLT_005,2.74,0.48,8.0,-1.278,0.044,55.26,54.25,54.26,54.86,51.973,99.6,0.314,0.10000000000000231,0.3999999999999998,55.26,1.009999999999998,-1.2418441484411742,0.25576183695315846,landing,False,
1.3,FLT_005,3.32,0.52,8.0,2.162,359.932,54.22,54.93,55.28,53.96,51.854,100.0,0.2489,5.799999999999996,0.40000000000000036,55.28,1.3200000000000003,-1.1078511262397743,-0.7775186956521878,landing,False,
1.4,FLT_005,2.05,0.56,8.0,1.134,0.075,56.18,54.45,56.11,55.19,51.759,99.8,0.4007,-12.7,0.40000000000000036,56.18,1.7299999999999969,0.32096737495145844,1.5560826608038723,landing,False,
1.5,FLT_005,2.64,0.6,8.0,0.905,359.852,53.97,54.64,54.81,55.22,52.072,99.7,0.216,5.900000000000003,0.39999999999999925,55.22,1.25,-1.1685805880633167,-1.2437738625770545,landing,False,
1.6,FLT_005,3.07,0.64,8.0,-1.504,359.763,54.02,54.35,54.63,53.67,52.159,100.0,0.2961,4.299999999999997,0.40000000000000036,54.63,0.9600000000000009,-1.825819697638889,-0.00917467543355367,landing,False,
1.7,FLT_005,3.47,0.68,8.0,1.306,359.718,54.48,54.84,54.37,58.61,52.106,100.0,0.2504,4.0000000000000036,0.40000000000000036,58.61,4.240000000000002,2.819640630895723,-0.7057819798419235,landing,False,
1.8,FLT_005,3.29,0.72,8.0,-5.084,359.687,56.32,56.57,53.82,54.27,51.971,100.0,0.2548,-1.8000000000000016,0.39999999999999925,56.57,2.75,0.5828978306518916,-0.6119231959130281,landing,False,
1.9,FLT_005,3.98,0.76,8.0,0.336,359.546,55.34,55.83,55.13,54.83,52.039,99.6,0.3352,6.8999999999999995,0.40000000000000036,55.83,1.0,-0.22984815835250094,0.6832982491729713,landing,False,
2.0,FLT_005,4.37,0.8,8.0,3.585,359.553,55.36,54.59,54.68,55.48,51.958,100.0,0.2779,3.9000000000000012,0.40000000000000036,55.48,0.8899999999999935,-0.6068176117234014,-0.2648350685622633,landing,False,
2.1,FLT_005,4.48,0.84,8.0,-1.253,359.421,55.41,53.3,56.03,56.27,51.914,99.3,0.3108,1.1000000000000032,0.39999999999999925,56.27,2.970000000000006,0.29692022098765414,0.28951108234631534,landing,False,
2.2,FLT_005,4.43,0.88,8.0,2.486,359.535,54.31,55.61,54.12,55.01,52.038,99.6,0.2828,-0.5000000000000071,0.40000000000000036,55.61,1.490000000000002,-0.46873111145295865,-0.19473800829146004,landing,False,
