timestamp_s,flight_id,altitude_m,airspeed_ms,pitch_deg,roll_deg,yaw_deg,motor1_temp_c,motor2_temp_c,motor3_temp_c,motor4_temp_c,battery_v,battery_pct,vibration_g,altitude_ms_rate,airspeed_ms_rate,motor_max_temp,motor_temp_spread,motor_temp_zscore,vibration_zscore,phase,fault_flag,fault_reason
0.0,FLT_001,0.25,0.0,8.0,0.644,359.933,53.02,53.95,54.41,55.15,52.069,100.0,0.2515,,,55.15,2.1299999999999955,,,landing,False,
0.1,FLT_001,0.13,0.04,8.0,-1.563,359.861,56.02,55.69,53.82,54.63,51.966,100.0,0.415,-1.2,0.4,56.02,2.200000000000003,,,landing,False,
0.2,FLT_001,0.72,0.08,8.0,1.383,0.004,55.08,54.74,54.73,53.28,52.017,100.0,0.3523,5.8999999999999995,0.4,55.08,1.7999999999999972,,,landing,False,
0.3,FLT_001,1.36,0.12,8.0,-1.181,0.19,53.85,54.6,51.91,55.64,51.942,99.6,0.3275,6.400000000000001,0.3999999999999999,55.64,3.730000000000004,,,landing,False,
0.4,FLT_001,0.68,0.16,8.0,1.499,0.098,53.63,55.69,55.6,54.46,51.907,99.9,0.2721,-6.800000000000001,0.4000000000000001,55.69,2.059999999999995,0.4406393815416856,-0.7901789219189124,landing,False,
0.5,FLT_001,0.88,0.2,8.0,-0.548,0.031,56.0,55.74,54.69,54.58,51.926,100.0,0.3619,1.9999999999999996,0.4000000000000001,56.0,1.4200000000000017,0.9966066260423698,0.5270203826956644,landing,False,
0.6,FLT_001,1.99,0.24,8.0,-3.442,0.145,56.1,55.23,56.04,52.61,52.223,100.0,0.3441,11.099999999999998,0.3999999999999998,56.1,3.490000000000002,1.0382110340235557,0.21728747333208573,landing,False,
0.7,FLT_001,1.78,0.28,8.0,-1.965,0.198,55.1,53.42,54.97,55.71,51.948,99.7,0.2947,-2.0999999999999996,0.40000000000000036,55.71,2.289999999999999,0.09415503244104137,-0.6169202132719411,landing,False,
0.8,FLT_001,1.37,0.32,8.0,-0.861,0.266,56.74,54.06,54.47,54.9,52.084,100.0,0.3544,-4.1,0.3999999999999998,56.74,2.6799999999999997,1.873135470788632,0.4766545297256147,landing,False,
0.9,FLT_001,2.07,0.36,8.0,2.736,0.356,54.03,55.98,54.93,55.12,52.19,100.0,0.3523,6.999999999999997,0.3999999999999998,55.98,1.9499999999999957,0.35154981400117086,0.4108664250920058,landing,False,
1.0,FLT_001,1.77,0.4,8.0,1.802,0.332,55.62,54.93,54.18,54.94,52.058,99.6,0.3137,-2.9999999999999982,0.40000000000000036,55.62,1.4399999999999977,-0.3777325264065075,-0.37403608122191623,landing,False,
1.1,FLT_001,1.97,0.44,8.0,3.248,0.365,54.14,55.11,56.0,53.83,51.899,99.3,0.2427,1.9999999999999996,0.3999999999999998,56.0,2.1700000000000017,0.4276707900810127,-1.5966546278912803,landing,False,
1.2,FLT_001,2.52,0.48,8.0,3.307,0.39,53.47,55.05,54.23,55.03,51.902,100.0,0.2489,5.5,0.3999999999999998,55.05,1.5799999999999983,-1.484326030991819,-1.3070784292919864,landing,False,
1.3,FLT_001,1.64,0.52,8.0,-1.07,0.304,55.32,52.86,55.69,53.83,51.986,99.9,0.2208,-8.8,0.40000000000000036,55.69,2.8299999999999983,-0.12718874488081844,-1.5832477469282165,landing,False,
1.4,FLT_001,1.94,0.56,8.0,-0.377,0.335,54.98,54.34,54.45,56.69,52.198,99.7,0.3662,3.0000000000000004,0.40000000000000036,56.69,2.3499999999999943,1.7540352696316737,0.9120682750082383,landing,False,
1.5,FLT_001,2.72,0.6,8.0,-0.823,0.459,55.32,55.9,55.15,55.62,52.112,99.6,0.227,7.8000000000000025,0.39999999999999925,55.9,0.75,0.17273881465654586,-1.3925498318612006,landing,False,
1.6,FLT_001,2.69,0.64,8.0,-1.343,0.426,55.42,55.25,56.11,55.16,52.022,99.8,0.3017,-0.3000000000000025,0.40000000000000036,56.11,0.9500000000000028,0.5822689214422274,-0.12147838997720546,landing,False,
1.7,FLT_001,3.56,0.68,8.0,-3.683,0.441,57.29,55.96,53.86,54.82,51.946,100.0,0.2205,8.700000000000001,0.40000000000000036,57.29,3.4299999999999997,2.3943931762860737,-1.4071577586091801,landing,False,
1.8,FLT_001,3.15,0.72,8.0,-0.029,0.462,55.4,55.04,55.69,55.8,52.002,99.3,0.3842,-4.100000000000001,0.39999999999999925,55.8,0.759999999999998,-0.19398270929445763,1.2624799532454047,landing,False,
1.9,FLT_001,3.09,0.76,8.0,-2.571,0.433,53.64,56.28,54.5,54.4,51.981,99.6,0.2419,-0.6000000000000005,0.40000000000000036,56.28,2.6400000000000006,0.6414421367486088,-1.0358657043483872,landing,False,
2.0,FLT_001,4.73,0.8,8.0,-0.068,0.501,54.4,55.81,54.73,54.34,51.978,100.0,0.3161,16.400000000000006,0.40000000000000036,55.81,1.4699999999999989,-0.2075038189407982,0.18414475090166177,landing,False,
2.1,FLT_001,4.09,0.84,8.0,4.232,0.433,54.58,53.21,54.16,53.76,51.87,99.9,0.2216,-6.400000000000006,0.39999999999999925,54.58,1.3699999999999974,-2.1447674834123274,-1.321814694230205,landing,False,
2.2,FLT_001,4.43,0.88,8.0,-1.019,0.566,54.73,55.66,55.55,56.26,51.867,99.9,0.3435,3.3999999999999986,0.40000000000000036,56.26,1.5300000000000011,0.6486246283106211,0.6749607162318537,landing,False,
2.3,FLT_001,3.89,0.92,8.0,0.39,0.629,56.03,54.47,55.02,54.97,51.987,99.8,0.3542,-5.399999999999996,0.40000000000000036,56.03,1.5600000000000023,0.25270377256857224,0.8241645301493224,landing,False,
2.4,FLT_001,4.53,0.96,8.0,1.813,0.535,52.85,53.78,54.83,54.83,51.836,99.8,0.3009,6.400000000000001,0.39999999999999925,54.83,1.9799999999999969,-1.678274045542571,-0.07391666613129191,landing,False,
2.5,FLT_001,5.06,1.0,8.0,0.561,0.705,55.51,55.46,53.23,55.52,51.887,99.5,0.2967,5.299999999999994,0.40000000000000036,55.52,2.2900000000000063,-0.5210777846406167,-0.14352834648655913,landing,False,
2.6,FLT_001,4.63,1.04,8.0,0.585,0.722,55.18,55.62,56.07,54.86,51.951,99.5,0.3405,-4.299999999999997,0.40000000000000036,56.07,1.2100000000000009,0.39604838665042097,0.6108714306066138,landing,False,
2.7,FLT_001,5.59,1.08,8.0,-0.725,0.649,56.25,54.11,54.05,55.43,51.979,99.9,0.2695,9.6,0.40000000000000036,56.25,2.200000000000003,0.6855321310609853,-0.6365937297659752,landing,False,
2.8,FLT_001,5.3,1.12,8.0,-0.464,0.76,54.63,55.26,56.99,55.39,52.056,99.4,0.3544,-2.9000000000000004,0.40000000000000036,56.99,2.3599999999999994,1.8102868998401491,0.8642483423245964,landing,False,
2.9,FLT_001,5.66,1.16,8.0,-1.92,0.809,55.21,54.13,53.3,54.93,51.817,99.7,0.3148,3.600000000000003,0.39999999999999813,55.21,1.9100000000000037,-1.0838223015104376,0.14610401305955487,landing,False,
3.0,FLT_001,5.7,1.2,8.0,1.692,0.632,56.07,54.68,55.4,56.43,51.815,99.6,0.2213,0.40000000000000036,0.40000000000000036,56.43,1.75,0.8936035710032414,-1.488017678702096,landing,False,
3.1,FLT_001,7.13,1.24,8.0,-3.483,0.58,56.4,55.43,55.17,53.48,52.069,100.0,0.3923,14.299999999999997,0.40000000000000036,56.4,2.9200000000000017,0.8219006572238489,1.5014107616775907,landing,False,
3.2,FLT_001,6.39,1.28,8.0,1.942,0.607,54.37,54.72,54.15,55.25,52.104,99.5,0.3092,-7.400000000000002,0.40000000000000036,55.25,1.1000000000000014,-1.0477072970999017,0.040679330577825606,landing,False,
3.3,FLT_001,6.07,1.32,8.0,-2.807,0.392,56.91,56.52,55.24,55.78,51.83,99.9,0.2831,-3.199999999999994,0.40000000000000036,56.91,1.6699999999999946,1.6029630546848384,-0.41798710458345584,landing,False,
3.4,FLT_001,7.21,1.36,8.0,1.925,0.4,54.27,56.46,53.44,55.91,51.847,99.7,0.3083,11.399999999999997,0.40000000000000036,56.46,3.020000000000003,0.8566988667134198,0.03706710861558845,landing,False,
3.5,FLT_001,6.39,1.4,8.0,-0.708,0.416,55.5,54.24,54.79,53.87,51.985,99.5,0.2641,-8.200000000000003,0.39999999999999813,55.5,1.6300000000000026,-0.6801208073184298,-0.7570341406372406,landing,False,
3.6,FLT_001,7.31,1.44,8.0,-2.464,0.297,53.91,53.41,55.77,56.21,51.933,99.1,0.2924,9.2,0.40000000000000036,56.21,2.8000000000000043,0.467961471686594,-0.23132248236811045,landing,False,
3.7,FLT_001,6.42,1.48,8.0,1.159,0.325,52.84,56.84,54.99,55.29,51.932,99.5,0.3395,-8.899999999999997,0.40000000000000036,56.84,4.0,1.4419664268035042,0.6378213097298971,landing,False,
3.8,FLT_001,6.94,1.52,8.0,1.858,0.325,53.53,56.32,55.2,56.14,51.846,99.7,0.3344,5.200000000000005,0.40000000000000036,56.32,2.789999999999999,0.5894000433074749,0.532783614963841,landing,False,
3.9,FLT_001,7.9,1.56,8.0,-0.876,0.206,56.22,56.33,54.35,54.79,51.994,99.1,0.331,9.6,0.40000000000000036,56.33,1.9799999999999969,0.5955177806041289,0.4610231849829629,landing,False,
