timestamp_s,flight_id,altitude_m,airspeed_ms,pitch_deg,roll_deg,yaw_deg,motor1_temp_c,motor2_temp_c,motor3_temp_c,motor4_temp_c,battery_v,battery_pct,vibration_g
0.0,FLT_003,0.0,0.0,8.0,0.814,0.045,54.74,56.0,55.3,54.61,52.065,100.0,0.4137
0.1,FLT_003,0.54,0.04,8.0,0.673,359.939,54.14,53.35,53.97,54.14,52.146,99.6,0.352
0.2,FLT_003,0.0,0.08,8.0,-1.975,359.976,53.91,55.74,56.02,55.25,52.013,99.9,0.2705
0.3,FLT_003,0.0,0.12,8.0,1.048,0.165,55.45,55.25,55.76,54.84,52.016,99.9,0.3096
0.4,FLT_003,0.83,0.16,8.0,2.681,0.202,55.71,55.35,55.4,55.33,52.02,100.0,0.3
0.5,FLT_003,0.71,0.2,8.0,2.57,0.177,55.14,54.27,54.89,55.42,51.848,100.0,0.2932
0.6,FLT_003,1.28,0.24,8.0,2.924,0.21,54.27,55.04,54.74,56.11,52.018,99.8,0.3506
0.7,FLT_003,1.17,0.28,8.0,3.541,0.027,54.44,54.52,56.17,55.89,51.768,99.6,0.2999
0.8,FLT_003,1.07,0.32,8.0,3.354,0.088,54.25,54.58,55.3,55.64,51.94,99.7,0.2671
0.9,FLT_003,2.05,0.36,8.0,-2.556,0.045,55.02,54.47,54.11,54.97,52.048,100.0,0.3807
1.0,FLT_003,2.43,0.4,8.0,-0.963,0.153,54.55,56.33,53.68,56.68,51.943,99.8,0.2835
1.1,FLT_003,1.85,0.44,8.0,0.341,0.165,55.06,53.84,54.56,53.91,51.815,100.0,0.2938
1.2,FLT_003,3.29,0.48,8.0,0.387,0.018,55.25,57.56,54.91,55.9,51.985,100.0,0.3059
1.3,FLT_003,3.39,0.52,8.0,-1.933,359.992,57.14,56.42,55.27,55.22,52.056,99.8,0.31
1.4,FLT_003,4.04,0.56,8.0,-0.818,359.829,55.57,53.9,53.99,54.18,51.876,100.0,0.267
1.5,FLT_003,2.88,0.6,8.0,1.458,359.898,55.25,54.77,56.11,57.11,51.99,100.0,0.2918
1.6,FLT_003,3.15,0.64,8.0,1.943,359.82,54.69,57.07,55.7,53.63,51.909,99.8,0.3556
1.7,FLT_003,3.2,0.68,8.0,-1.056,359.898,56.51,55.45,53.67,54.8,52.072,100.0,0.3431
1.8,FLT_003,3.83,0.72,8.0,-0.496,359.774,54.81,54.1,55.59,57.17,52.233,99.5,0.2026
1.9,FLT_003,3.22,0.76,8.0,1.366,359.806,54.77,55.85,54.04,55.7,51.896,99.9,0.2203
2.0,FLT_003,3.87,0.8,8.0,-0.319,359.825,56.29,54.6,53.33,56.33,51.788,100.0,0.2521
2.1,FLT_003,4.61,0.84,8.0,-3.698,359.919,52.65,55.62,56.63,54.06,51.976,99.0,0.2079
2.2,FLT_003,4.0,0.88,8.0,-0.331,359.835,54.25,55.56,55.25,54.75,51.91,100.0,0.2352
2.3,FLT_003,4.47,0.92,8.0,-1.215,359.886,55.9,53.5,55.74,55.7,52.07,99.4,0.3162
2.4,FLT_003,5.06,0.96,8.0,-0.335,359.815,54.32,56.3,55.12,55.55,51.854,99.7,0.2421
2.5,FLT_003,4.91,1.0,8.0,3.112,359.907,52.83,52.62,54.83,54.66,51.97,99.7,0.3202
2.6,FLT_003,4.91,1.04,8.0,1.159,0.036,54.31,55.67,55.33,53.37,51.992,99.2,0.3114
2.7,FLT_003,5.74,1.08,8.0,-1.164,359.976,56.29,54.8,54.17,55.5,51.979,99.5,0.2328
2.8,FLT_003,5.59,1.12,8.0,-0.123,359.908,56.75,52.98,53.98,55.29,51.98,99.4,0.3305
2.9,FLT_003,5.9,1.16,8.0,-2.025,359.773,55.14,56.15,55.39,53.64,52.072,99.5,0.2468
3.0,FLT_003,5.66,1.2,8.0,2.073,359.564,53.81,54.18,55.98,54.7,52.079,99.8,0.3439
3.1,FLT_003,5.9,1.24,8.0,-0.855,359.645,54.96,55.38,56.78,54.21,51.959,99.7,0.3104
3.2,FLT_003,6.76,1.28,8.0,2.402,359.758,53.93,54.88,54.24,54.21,52.031,99.7,0.3228
3.3,FLT_003,7.33,1.32,8.0,2.619,359.741,54.71,55.85,54.83,55.55,52.135,99.6,0.2945
3.4,FLT_003,6.55,1.36,8.0,2.533,359.651,53.87,56.92,55.2,54.78,51.817,100.0,0.3267
3.5,FLT_003,7.36,1.4,8.0,1.138,359.603,53.11,55.05,55.26,54.8,52.199,99.5,0.2635
3.6,FLT_003,7.48,1.44,8.0,1.357,359.62,55.5,55.27,54.08,56.09,51.945,99.5,0.3203
3.7,FLT_003,7.79,1.48,8.0,1.411,359.699,54.87,55.24,56.39,53.97,51.968,99.4,0.3704
3.8,FLT_003,7.56,1.52,8.0,0.702,359.589,54.98,54.8,53.21,55.28,52.006,99.5,0.2907
3.9,FLT_003,8.28,1.56,8.0,-1.983,359.595,57.21,55.71,54.94,53.52,52.123,99.1,0.3002
4.0,FLT_003,8.27,1.6,8.0,-3.764,359.592,55.24,53.31,55.85,54.35,52.059,98.7,0.2707
4.1,FLT_003,7.99,1.64,8.0,2.331,359.509,54.93,55.21,54.53,55.71,52.104,99.8,0.371
4.2,FLT_003,8.21,1.68,8.0,0.211,359.589,56.11,54.11,56.41,56.47,52.092,99.4,0.2195
4.3,FLT_003,9.8,1.72,8.0,-2.13,359.68,56.57,53.94,54.38,55.12,51.838,99.7,0.2726
4.4,FLT_003,9.21,1.76,8.0,0.099,359.662,54.39,56.45,53.62,55.43,52.008,99.4,0.3849
4.5,FLT_003,9.13,1.8,8.0,0.394,359.669,55.82,55.64,55.07,56.19,51.868,99.7,0.3594
4.6,FLT_003,9.06,1.84,8.0,-2.028,359.567,56.28,54.72,54.15,54.15,51.904,99.6,0.3015
4.7,FLT_003,9.23,1.88,8.0,-1.985,359.615,53.9,54.23,56.22,53.36,51.757,99.4,0.2377
